statename,districtname,crop,cropyear,season,area,production,statenorm,districtnorm,yieldcalc,lat,lon,Rainfall_sum_x,Tavg_mean_x,Tmax_mean_x,Tmin_mean_x,ET0_sum_x,GDD_sum_x,Rainfall_sum_y,Tavg_mean_y,Tmax_mean_y,Tmin_mean_y,ET0_sum_y,GDD_sum_y
Andhra Pradesh,ANANTAPUR,Castor seed,2010,Kharif,4328.0,3795.0,andhra pradesh,anantapur,0.8768484288354899,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Cotton(lint),2010,Kharif,4338.0,2977.0,andhra pradesh,anantapur,0.6862609497464269,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Dry chillies,2010,Kharif,1968.0,7307.0,andhra pradesh,anantapur,3.7129065040650406,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Groundnut,2010,Kharif,814077.0,446928.0,andhra pradesh,anantapur,0.5489996646508868,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Horse-gram,2010,Kharif,655.0,317.0,andhra pradesh,anantapur,0.48396946564885496,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Jowar,2010,Kharif,2606.0,2069.0,andhra pradesh,anantapur,0.7939370683039141,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Maize,2010,Kharif,10726.0,51174.0,andhra pradesh,anantapur,4.771023680775685,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Mesta,2010,Kharif,32.0,286.0,andhra pradesh,anantapur,8.9375,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Moong(Green Gram),2010,Kharif,791.0,251.0,andhra pradesh,anantapur,0.3173198482932996,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Onion,2010,Kharif,1620.0,26924.0,andhra pradesh,anantapur,16.619753086419752,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Other Kharif pulses,2010,Kharif,1.0,,andhra pradesh,anantapur,,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Ragi,2010,Kharif,1876.0,3343.0,andhra pradesh,anantapur,1.7819829424307037,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Rice,2010,Kharif,34973.0,102007.0,andhra pradesh,anantapur,2.9167357675921424,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Small millets,2010,Kharif,371.0,345.0,andhra pradesh,anantapur,0.9299191374663073,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Soyabean,2010,Kharif,1682.0,2866.0,andhra pradesh,anantapur,1.7039239001189062,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Urad,2010,Kharif,14.0,6.0,andhra pradesh,anantapur,0.42857142857142855,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Bajra,2010,Rabi,5.0,4.0,andhra pradesh,anantapur,0.8,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Gram,2010,Rabi,94240.0,73601.0,andhra pradesh,anantapur,0.7809953310696095,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Groundnut,2010,Rabi,19993.0,34068.0,andhra pradesh,anantapur,1.7039963987395588,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Horse-gram,2010,Rabi,1527.0,860.0,andhra pradesh,anantapur,0.5631958087753766,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Jowar,2010,Rabi,13274.0,8296.0,andhra pradesh,anantapur,0.6249811661895435,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Maize,2010,Rabi,4750.0,43306.0,andhra pradesh,anantapur,9.117052631578947,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Moong(Green Gram),2010,Rabi,83.0,29.0,andhra pradesh,anantapur,0.3493975903614458,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Onion,2010,Rabi,306.0,8233.0,andhra pradesh,anantapur,26.905228758169933,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Ragi,2010,Rabi,556.0,831.0,andhra pradesh,anantapur,1.4946043165467626,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Rice,2010,Rabi,24828.0,69394.0,andhra pradesh,anantapur,2.794989527952312,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Safflower,2010,Rabi,45.0,31.0,andhra pradesh,anantapur,0.6888888888888889,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Urad,2010,Rabi,559.0,299.0,andhra pradesh,anantapur,0.5348837209302325,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Wheat,2010,Rabi,131.0,171.0,andhra pradesh,anantapur,1.3053435114503817,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Arecanut,2010,Whole Year,409.0,182.0,andhra pradesh,anantapur,0.4449877750611247,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
