yieldcalc,production,area
0.43900064,15322.0,34902.0
25.492176,32579.0,1278.0
0.24032587,118.0,491.0
91.871864,658905.0,7172.0
0.90976334,2460.0,2704.0
12.8,512.0,40.0
6.5,26.0,4.0
1.6909693,18369.0,10863.0
6.104575,934.0,153.0
0.5057751,832.0,1645.0
2.2998312,2723.0,1184.0
2.2705526,6739.0,2968.0
3.3125,212.0,64.0
1.1700189,22338.0,19092.0
1.4444444,195.0,135.0
2.9819405,8421.0,2824.0
8.122244,45314.0,5579.0
0.24921532,397.0,1593.0
19.851852,536.0,27.0
0.9104478,732.0,804.0
0.8136,167482.0,205853.0
0.15727699,268.0,1704.0
0.95348835,82.0,86.0
0.4219567,565.0,1339.0
4.462825,12545.0,2811.0
1.6666666,20.0,12.0
1.8379452,14347.0,7806.0
0.4550432,3740.0,8219.0
3.8333333,23.0,6.0
9.116977,41619.0,4565.0
0.55300826,15028.0,27175.0
15.03176,16565.0,1102.0
1.3812678,1460.0,1057.0
2.3699634,16822.0,7098.0
0.16307075,975.0,5979.0
0.61598927,25311.0,41090.0
25.49238,21745.0,853.0
0.36146435,8442.0,23355.0
9.328947,709.0,76.0
9.328947,709.0,76.0
56.960014,180905.0,3176.0
1.243123,4474.0,3599.0
12.82,641.0,50.0
2.909091,384.0,132.0
3.209524,337.0,105.0
6.105,1221.0,200.0
0.37987626,1412.0,3717.0
0.8710271,5207.0,5978.0
2.2705882,2509.0,1105.0
3.3168654,1947.0,587.0
0.99195796,3207.0,3233.0
0.48314607,43.0,89.0
1.4470469,1421.0,982.0
1.6049747,9227.0,5749.0
8.962963,242.0,27.0
0.24916722,374.0,1501.0
0.37997368,3753.0,9877.0
19.866667,1192.0,60.0
0.9591837,376.0,392.0
1.0289874,23322.0,22665.0
1.7443081,192378.0,110289.0
0.17098321,713.0,4170.0
1.0111188,14732.0,14570.0
0.66026664,1238.0,1875.0
0.3888889,7.0,18.0
3.4327018,3443.0,1003.0
1.6625,133.0,80.0
2.1878355,2446.0,1118.0
0.7282104,1412.0,1939.0
4.0,12.0,3.0
9.116552,9308.0,1021.0
0.35103786,1150.0,3276.0
13.057324,2050.0,157.0
0.81807595,3512.0,4293.0
1.4620689,424.0,290.0
1.2920682,9383.0,7262.0
0.21321586,484.0,2270.0
0.5340274,2770.0,5187.0
15.616752,18459.0,1182.0
0.21496329,6821.0,31731.0
2.6838603,1613.0,601.0
2.6838603,1613.0,601.0
11.208333,1076.0,96.0
57.231613,2221674.0,38819.0
1.242647,507.0,408.0
12.801653,1549.0,121.0
6.5833335,1422.0,216.0
2.749495,1361.0,495.0
2.5229974,4882.0,1935.0
0.50609756,1245.0,2460.0
0.57350564,355.0,619.0
0.4117647,7.0,17.0
0.93527,10721.0,11463.0
3.3190477,697.0,210.0
1.0650136,24097.0,22626.0
1.4471365,657.0,454.0
2.706957,22373.0,8265.0
9.194464,174704.0,19001.0
0.2487617,452.0,1817.0
0.5614035,64.0,114.0
19.856354,3594.0,181.0
0.9539208,2360.0,2474.0
2.5751286,325213.0,126290.0
0.11804329,1069.0,9056.0
0.8089701,1461.0,1806.0
0.42216867,876.0,2075.0
0.8426803,1157.0,1373.0
1.6633663,336.0,202.0
1.341954,4203.0,3132.0
0.33000693,3803.0,11524.0
4.3310328,46433.0,10721.0
0.35602304,6245.0,17541.0
13.057442,5001.0,383.0
1.6135508,1286.0,797.0
2.4,12.0,5.0
3.232975,23452.0,7254.0
0.2980143,1831.0,6144.0
0.41802576,7305.0,17475.0
21.349968,167277.0,7835.0
0.23960672,3948.0,16477.0
9.321428,261.0,28.0
9.321428,261.0,28.0
11.0,22.0,2.0
63.951473,972574.0,15208.0
1.2439024,153.0,123.0
12.8,448.0,35.0
6.5625,105.0,16.0
