statename,districtname,crop,cropyear,season,statenorm,districtnorm
Andhra Pradesh,CHITTOOR,Horse-gram,2010,Kharif,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Jowar,2010,Kharif,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Maize,2010,Kharif,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Mesta,2010,Kharif,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Moong(Green Gram),2010,Kharif,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Onion,2010,Kharif,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Other Kharif pulses,2010,Kharif,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Ragi,2010,Kharif,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Rice,2010,Kharif,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Sesamum,2010,Kharif,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Small millets,2010,Kharif,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Urad,2010,Kharif,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Arhar/Tur,2010,Rabi,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Bajra,2010,Rabi,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Dry chillies,2010,Rabi,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Groundnut,2010,Rabi,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Horse-gram,2010,Rabi,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Maize,2010,Rabi,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Moong(Green Gram),2010,Rabi,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Onion,2010,Rabi,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Ragi,2010,Rabi,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Rapeseed &Mustard,2010,Rabi,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Rice,2010,Rabi,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Sesamum,2010,Rabi,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Urad,2010,Rabi,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Banana,2010,Whole Year,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Cashewnut,2010,Whole Year,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Coriander,2010,Whole Year,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Potato,2010,Whole Year,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Sugarcane,2010,Whole Year,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Sunflower,2010,Whole Year,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Sweet potato,2010,Whole Year,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Tapioca,2010,Whole Year,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Tobacco,2010,Whole Year,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Turmeric,2010,Whole Year,andhra pradesh,chittoor
Andhra Pradesh,EAST GODAVARI,Arhar/Tur,2010,Kharif,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Bajra,2010,Kharif,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Castor seed,2010,Kharif,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Cotton(lint),2010,Kharif,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Dry chillies,2010,Kharif,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Groundnut,2010,Kharif,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Jowar,2010,Kharif,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Maize,2010,Kharif,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Moong(Green Gram),2010,Kharif,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Onion,2010,Kharif,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Ragi,2010,Kharif,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Rice,2010,Kharif,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Sesamum,2010,Kharif,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Small millets,2010,Kharif,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Urad,2010,Kharif,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Arhar/Tur,2010,Rabi,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Dry chillies,2010,Rabi,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Gram,2010,Rabi,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Groundnut,2010,Rabi,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Horse-gram,2010,Rabi,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Maize,2010,Rabi,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Moong(Green Gram),2010,Rabi,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Onion,2010,Rabi,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Ragi,2010,Rabi,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Rice,2010,Rabi,andhra pradesh,east godavari
