statename,districtname,crop,cropyear,season,area,production,statenorm,districtnorm,yieldcalc
Andhra Pradesh,SRIKAKULAM,Sesamum,2010,Kharif,1704.0,268.0,andhra pradesh,srikakulam,0.1572769953051643
Andhra Pradesh,SRIKAKULAM,Small millets,2010,Kharif,86.0,82.0,andhra pradesh,srikakulam,0.9534883720930233
Andhra Pradesh,SRIKAKULAM,Urad,2010,Kharif,1339.0,565.0,andhra pradesh,srikakulam,0.42195668409260645
Andhra Pradesh,SRIKAKULAM,Dry chillies,2010,Rabi,2811.0,12545.0,andhra pradesh,srikakulam,4.462824617573817
Andhra Pradesh,SRIKAKULAM,Gram,2010,Rabi,12.0,20.0,andhra pradesh,srikakulam,1.6666666666666667
Andhra Pradesh,SRIKAKULAM,Groundnut,2010,Rabi,7806.0,14347.0,andhra pradesh,srikakulam,1.8379451703817575
Andhra Pradesh,SRIKAKULAM,Horse-gram,2010,Rabi,8219.0,3740.0,andhra pradesh,srikakulam,0.45504319260250636
Andhra Pradesh,SRIKAKULAM,Jowar,2010,Rabi,6.0,23.0,andhra pradesh,srikakulam,3.8333333333333335
Andhra Pradesh,SRIKAKULAM,Maize,2010,Rabi,4565.0,41619.0,andhra pradesh,srikakulam,9.11697699890471
Andhra Pradesh,SRIKAKULAM,Moong(Green Gram),2010,Rabi,27175.0,15028.0,andhra pradesh,srikakulam,0.5530082796688133
Andhra Pradesh,SRIKAKULAM,Onion,2010,Rabi,1102.0,16565.0,andhra pradesh,srikakulam,15.031760435571687
Andhra Pradesh,SRIKAKULAM,Ragi,2010,Rabi,1057.0,1460.0,andhra pradesh,srikakulam,1.381267738883633
Andhra Pradesh,SRIKAKULAM,Rice,2010,Rabi,7098.0,16822.0,andhra pradesh,srikakulam,2.36996336996337
Andhra Pradesh,SRIKAKULAM,Sesamum,2010,Rabi,5979.0,975.0,andhra pradesh,srikakulam,0.1630707476166583
Andhra Pradesh,SRIKAKULAM,Urad,2010,Rabi,41090.0,25311.0,andhra pradesh,srikakulam,0.6159892917984912
